x1,y1,z1,x2,y2,z2,x3,y3,z3,label
6746.5,-11596.36667,8316.233333,2047.566667,-11042.13333,4570.4,-6481.6,-1860.833333,12344.1,'good'
11928.2,-7523.3,7210,5177,-11889.16667,2155.233333,-4389.666667,1400,22579.43333,'good'
6320.8,-14490.3,1218.8,2510.266667,-12341.6,3459.116667,-5450,1725.666667,15034.675,'good'
8714.866667,-11513.7,6374.366667,-2899.333333,-7195.466667,11215.03333,-4946.233333,1300.233333,122189.2667,'good'
3291.307143,-10530.56429,8436.4,-420.5428571,-9140.114286,8672.914286,-1723.378571,-5417.935714,51911.91429,'good'
8264.966667,-10940.23333,11806.66667,-2150.266667,-7037.066667,11026.46667,-5285.933333,1141.533333,14090.63333,'good'
4575.733333,-11925.73333,11680.26667,1067.466667,-9666.666667,5524.9,-4521.058333,1965.241667,97423.64167,'good'
14205.93333,-3272.573333,7570.666667,11051.21333,-9868.333333,4535.6,-1652.506667,-3943.226667,60345.8,'good'
11985.5,-10106.7,2066.2,-707.9333333,-9428.4,7416.983333,-2717.433333,824.7666667,16066.94167,'good'
6025.653333,-9999.146667,10411.64,8077.52,-11412.08,-15697.28,-3672.74,-3100.48,14039.86,'good'
-4792.693333,-3081.186667,21905.37333,8093.186667,-12661.09333,2552.653333,-963.8133333,-3251.08,59294.43333,'good'
1560.68,-9678.32,9088.87,4228.5,-11036.6,2796.27,-2217.3,3373.66,15477.18,'good'
-6853.2,-5563.4,11637.6,-4890.2,-2347,26146.2,-496.2,3042.4,24246.7,'good'
9710.8,-12300,-2909.6,-3226.733333,-6802.933333,56979.66667,-1308,1138.133333,121839.7667,'good'
10143.43333,-12414.86667,504.6666667,447.6,-11691.2,2691.466667,-4823.333333,1494.933333,15799.16667,'good'
-4499.8,-2270.6,14313.2,-5222.4,-4829.6,12002.2,-2201.2,5011,1580088,'good'
-2927.6,-8409.6,8693.2,-4232.8,-3188.6,21261.5,-3586,2825.8,15528.8,'good'
-5626.6,-1747,171832.4,-2376,2643.6,14234.6,-429,5607.4,29374.4,'good'
12133.7,-9225.433333,1776.4,825.8333333,-8287.166667,11344.9,-2247.733333,-1300.9,34851.36667,'good'
4904.85,-8801.1,11429.69286,8548.521429,-9981.878571,4659.442857,1004.771429,-5786.971429,9170.371429,'good'
12643.33333,-9583.866667,2120.666667,1348.133333,-9771.866667,4714.6,-2751.666667,-1052.333333,66929.26667,'good'
11491.53333,-9253.466667,2309.133333,-2833.666667,-8118.733333,10873.86667,55.01666667,-1279.133333,15030.06667,'good'
8824.266667,-13962.86667,-2743.6,7,-9002.733333,80562.8,-3958.666667,-1215.933333,32138.6,'good'
11204.46667,-9338.733333,1284.333333,-288,-8792.4,8572.933333,-3374.866667,-140.7,73782.6,'good'
-2016.812121,-7752.487879,20483.73788,1821.566667,-7770.457576,17584.95758,5548.327273,-5553.630303,38471.53333,'good'
11886.6,-9931.066667,1420.133333,2336.133333,-10377.46667,5149.866667,-773.5666667,1645.566667,108285.3667,'good'
7787.933333,-15221.66667,-3265.8,-4695.333333,-7053.866667,12470.6,-179.2666667,2532.866667,15109.06667,'good'
8645.266667,-11552.73333,-124,-2147.2,-8683.733333,7442.866667,-3094.866667,1990.466667,14837.66667,'good'
2877.6,-9829,3469.8,-3873.4,-3866.2,15605,-120.6,2780,14828,'good'
8479.26,-1093.48,172926.36,8838.56,-12005.56,726.48,-2802.16,-4130.82,46345.68,'good'
-5771.4,-7241,11776.8,-3300.05,-5032.8,169813.05,-1935.2,2396.8,159224,'good'
7153.04,-12163.96,6206.76,5570.7,-13378.04,1340.98,-3848.44,-1451.74,14520.48,'good'
12170.06667,-9875.066667,-333.0333333,-2253.8,-7815.666667,18544.8,-2919.2,1365.4,47372.2,'good'
9570.3,-13038.06667,3677.333333,2736.733333,-10623.03333,2789.366667,-3718.866667,-861.6666667,14933.06667,'good'
10549.73333,-9783.266667,4067.133333,1219.066667,-10649,5400.4,-3430.8,-690.6,15586.63333,'good'
9932.033333,-12484.1,2680.6,3655.666667,-11311.7,518.8333333,-3412.766667,1260.1,14751.46667,'good'
-3747.8,-4349.6,15649.6,-3575.4,-1012,10903,-299.2,3984.4,30354.6,'good'
10021.4,-11792.66667,-526.6333333,1239.133333,-11831.26667,3429.666667,-1729.4,-840.6666667,15567.06667,'good'
1960,-11694,3177.2,-3335.8,-4010.4,14661.2,-3944.8,2723,14769.6,'good'
8858.333333,-8678.2,6254.466667,2237.533333,-12982.8,2325.6,-3714.333333,914.8,97532.6,'good'
-4530.6,-3766.6,15587.2,-1503.5,-2895,148532.8,1192.2,5441.8,156046,'good'
8171.333333,-12798.8,5703.4,2082.6,-11793.46667,5727.333333,-2586.6,2010,15763.13333,'good'
1192.966667,-546.2,54197.68333,9202.333333,-10465.73333,3160.866667,-3064.566667,-169.1333333,13567.03333,'good'
12353.6,-8166.633333,4566.2,5200.266667,-12771.4,-692.7666667,-3276.4,1102.8,15448.46667,'good'
4909.666667,-12367.06667,-2017,-4591.733333,-7103.266667,13109.86667,-2762.533333,786.6,23615.86667,'good'
5963,-7717.133333,11848.13333,664.4666667,-10242.86667,7977.066667,-3320.866667,249.9333333,14861,'good'
9039.866667,-13257.26667,-3388,-319.7333333,-9746.333333,8165.2,-4700.933333,332.5333333,14097.66667,'good'
9161.4,-13064.3,5245.133333,6360.166667,-12491.13333,1194.466667,-1810.3,595.9666667,94848.58333,'good'
13311.43333,-5515.6,20241.13333,1296.633333,-10578.63333,9627.15,-4438.191667,2570.133333,36398.84167,'good'
-5298,-7023.6,12794,-5023.2,2242.6,14257.4,-3794.4,4950,15130.8,'good'
-4279.704762,-12481.97143,10249.48095,2968.6,-13399.4,6337.866667,-3631.266667,-5357.933333,34969.7,'good'
5792.838095,-4810.342857,46060.6,7894.380952,-8197.066667,8553.952381,-269.0952381,-5267.628571,45965.92381,'good'
7014.2,-11143.8,2653.4,-4959.466667,-4129.866667,13851.2,-5087.85,-931.4,76425,'good'
4264.8,-4050,216060,6065.28,-10645.94,13960.42,-6116.2,225.7,13912.3,'good'
-5414,-8166,10059.8,-6055.6,-4014.4,15088.6,-5307.6,3658.6,13950,'good'
6726.14,-7565.66,6819.58,6677.88,-13132.86,1635.24,-5322.52,1717.64,17809.1,'good'
3779.533333,-12293.46667,4139.133333,1000.1,-11568.7,5015,-3579.633333,2874.466667,14503.63333,'good'
3360.066667,-14594.63333,10037.76667,5336.066667,-12268.9,4385.5,-4312.758333,225.7666667,76116.4,'good'
8309.933333,-13845,-1537.533333,-4110.266667,-7332.6,11516.2,-2591.05,2935.733333,110949.8833,'good'
7438.364286,-2955.357143,13497.16786,7119.471429,-13773.37857,2452.239286,-1269.385714,-9533.385714,1615.592857,'pluck'
587.9,-12645.06667,7377.533333,10564.73333,-9846.333333,3744.333333,-6271.3,-9184.033333,3413.966667,'pluck'
13107.86667,-8654.266667,6736.466667,6860.6,-12387.26667,777,-10362.86667,-8140.6,4048,'pluck'
12137.6,-8119.6,6571,6492.4,-12772,-1643,-10636.85,-7223.4,2692.2,'pluck'
6988.38,-6011.26,8853.08,13042.72,-4808.94,7961.48,-3368.44,-9063.56,4142.44,'pluck'
5913.2,-14065.33333,7084.4,6051.533333,-13502.4,-1047.833333,-8084.066667,-9110.2,649593.8333,'pluck'
9269.466667,-3657.466667,12409.33333,9048.933333,-13867.93333,-3270.2,-6537.466667,-6426.066667,27216.46667,'pluck'
6143.866667,514.4666667,191137.3333,2603.6,-13128.6,5205.333333,-8966.466667,-6932,7606.866667,'pluck'
-100.4,-1908.7,10269.1,9419.733333,-9716.966667,4626.966667,-5336.533333,-8505.5,5435.283333,'pluck'
8521.2,-13639.8,-2289.4,3146.55,-8383.8,9679.15,-13863.6,-8635.8,-2077,'pluck'
9932.933333,-8917.133333,7760.533333,6243.533333,-15683.86667,-1565.5,-9246,-6602.733333,5797.533333,'pluck'
11930.66667,-5990,8587.266667,7646.8,-14060.73333,-785.1333333,-8008.4,-9244.6,6030.866667,'pluck'
13012,-8298.533333,7961.8,7332.8,-12596.06667,628.4,-10004.46667,-6010.666667,7081.133333,'pluck'
11524.2,-10256,12886.8,3902.6,-13331.2,278.6,-8575,-10058.4,2502.2,'pluck'
-2466.133333,-7733.2,11411.2,4424.666667,-14692.8,-745.0666667,-8371,-9422.8,11444.73333,'pluck'
8981.933333,-1041.3,10630.7,10343.06667,-8958.3,4495.6,-7244.866667,-8053.2,-373.2333333,'pluck'
9761.533333,-6624.466667,7130.533333,7336.4,-13968.2,112.8,-8993,-9091.2,3832.6,'pluck'
7226.8,-10643.6,7834.2,6863.7,-13032.1,1402.6,-6,-10340.425,1634.7,'pluck'
10356.4,-9067.6,43568.8,5694.2,-14522.2,-323.6,-7041.4,-9140.8,4965.95,'pluck'
10039.73333,-3587.8,12599,7702.666667,-14164.33333,-1344.3,-7194.533333,-10139.2,1939.9,'pluck'
11702.4,-6376.933333,7835.4,5974.8,-12760.66667,1420.266667,-6269.2,-9357.6,6708.75,'pluck'
2991.2,-11842.26667,10281.86667,7827.6,-14386,1332.4,-3894.7,-10938.4,4225.066667,'pluck'
5808.066667,-7378.666667,16354.33333,11339.33333,-13573.26667,-1713.666667,-7091.2,-7830.333333,6538.266667,'pluck'
11991.2,-10770.8,3737.3,6988.8,-13592.8,-936.2,-8964.8,-8772.25,4411.95,'pluck'
10869.93333,-9002.066667,4745.933333,8967.466667,-11728.4,-3480.4,-5235.983333,-8691.45,4807.616667,'pluck'
5537.6,-3633.2,12524.86667,9608.133333,-13541.2,-2424.733333,-4629.533333,-11120.8,2863.133333,'pluck'
9730,-9240,8478.6,10265.06667,-11857.86667,14211.46667,-3838.1,-11510.6,2875.133333,'pluck'
2352.566667,-5931.2,5763.433333,7495.9,-13672.26667,-1200.433333,-3011.7,-11811.56667,4238.7,'pluck'
8973.4,-10939.4,6131.8,3664.4,-15159.4,113.8,-9957.65,-5268,6000.55,'pluck'
11754.6,-3464,11335,6650.6,-14472.2,-967.2,-9687.6,-10728.6,5883.2,'pluck'
11517.46667,-6544,9012.933333,5410.466667,-14775.33333,2073.6,-9880.6,-8716.333333,4543.133333,'pluck'
11583.13333,-6386.266667,8619.8,8565.266667,-14215.2,-4210.666667,-6555.266667,-9159.133333,5448.75,'pluck'
11607,-7739.8,11425.1,5739,-13887.93333,601.1333333,-10092.2,-9577,7157.1,'pluck'
8724.8,-8453.2,34419.6,4592.4,-13621.8,2218.4,-5920.45,-11213.2,7821.9,'pluck'
10616.6,-9923.6,6436.3,1222.4,-9227.4,5675.4,-5591,-9313,4498.9,'pluck'
10981.15,-10013.2,-1150.2,4850,-12973.6,1840.2,-7726.4,-10309.25,2257.75,'pluck'
13291.8,-8906.6,5320.8,4345.8,-12635.2,908.6,-7713.4,-11674.6,3198.8,'pluck'
3689.8,-12666,5122.6,3750.2,-12198.8,3127.2,-7040.8,-10207.2,10747.75,'pluck'
6874.8,-11429.4,2254.4,4520.55,-14978,4959.75,-8061.2,-15928.4,-668.4,'pluck'
11759.8,-8031.8,4704.4,8345.7,-9293,25290.7,3971.8,-12112.8,63513.6,'pluck'
5295,-14181.4,-3613.8,4943.6,-14308.4,2913.2,-8532.6,-12168.45,2436.75,'pluck'
7341.6,-12417,2964,2395.6,-13761,4021.5,-9768.4,-9973.05,2483.75,'pluck'
10096.6,-10330.8,1904.4,2531,-12062.2,2146.2,-7723.8,-9936.6,-1757.45,'pluck'
7865.8,-11056.2,768,-716.2,-13380.4,5778.8,-7185.4,-9300.6,965.6,'pluck'
10992.35,-8898,5011.6,5605.6,-13234.2,492.4,-8498.4,-10054.25,1990.95,'pluck'
11651.4,-9757.6,3727.8,1428.2,-11357.4,4892.6,-7359.8,-11123.4,4016.3,'pluck'
12104.4,-10796.8,3459.4,5236.2,-14232,-1849.8,-8563.6,-10325.4,4236.6,'pluck'
12935.8,-6751.2,7182.8,4469.6,-12113.2,1835.4,-9322.2,-12496.4,976.6,'pluck'
11914.2,-8046.2,3116.4,3784,-12733.4,3712.6,-12056,-9273.4,2365.2,'pluck'
9082.4,-5680.8,8767.6,5265.6,-14790,4020.8,-9966.6,-8329.8,4687.8,'pluck'
8249.666667,-2786.666667,9920.4,8535.933333,-11634.8,838.9333333,-4464.6,-11881.4,4904.183333,'pluck'
5480.4,-8568.6,8008.4,8475,-13006.2,6,-6922.45,-12161.2,1433.8,'pluck'

